_time,_value,_field,_measurement,day,month,station,year
2023-07-14 19:00:00+00:00,26.4,mean_temperature,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,6.6,mean_wind_speed,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,23.1,minimum_temperature,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,11.4,daily_rainfall_total,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,6.8,highest_120min_rainfall,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,2.0,highest_30min_rainfall,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,3.8,highest_60min_rainfall,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,22.6,max_wind_speed,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,30.6,maximum_temperature,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,26.4,mean_temperature,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,7.2,mean_wind_speed,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,24.1,minimum_temperature,Daily Weather Conditions,10,11,Admiralty,2022
2023-07-14 19:00:00+00:00,0.2,daily_rainfall_total,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.2,highest_120min_rainfall,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.2,highest_30min_rainfall,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,0.2,highest_60min_rainfall,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,20.2,max_wind_speed,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,31.0,maximum_temperature,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,26.7,mean_temperature,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,5.8,mean_wind_speed,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,24.2,minimum_temperature,Daily Weather Conditions,10,12,Admiralty,2022
2023-07-14 19:00:00+00:00,24.4,daily_rainfall_total,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,24.2,highest_120min_rainfall,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,16.6,highest_30min_rainfall,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,24.2,highest_60min_rainfall,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,35.6,max_wind_speed,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,33.4,maximum_temperature,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,27.0,mean_temperature,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,9.7,mean_wind_speed,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,25.1,minimum_temperature,Daily Weather Conditions,10,2,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,37.8,max_wind_speed,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,30.7,maximum_temperature,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,26.9,mean_temperature,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,15.8,mean_wind_speed,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,24.8,minimum_temperature,Daily Weather Conditions,10,3,Admiralty,2023
2023-07-14 19:00:00+00:00,23.2,daily_rainfall_total,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,22.6,highest_120min_rainfall,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,12.4,highest_30min_rainfall,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,19.0,highest_60min_rainfall,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,38.2,max_wind_speed,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,33.7,maximum_temperature,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,27.4,mean_temperature,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,5.9,mean_wind_speed,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,22.9,minimum_temperature,Daily Weather Conditions,10,4,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,27.4,max_wind_speed,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,35.0,maximum_temperature,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,30.7,mean_temperature,Daily Weather Conditions,10,5,Admiralty,2023
2023-07-14 19:00:00+00:00,8.3,mean_wind_speed,Daily Weather Conditions,10,5,Admiralty,2023
