_time,_value,_field,_measurement,device_id,device_name,type,unit
2023-06-22 11:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 12:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 13:00:00+00:00,0.99,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 14:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 15:00:00+00:00,0.88,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 16:00:00+00:00,0.92,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 17:00:00+00:00,0.95,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 18:00:00+00:00,0.96,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 19:00:00+00:00,392.25,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 20:00:00+00:00,392.34,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 21:00:00+00:00,392.25,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 22:00:00+00:00,392.36,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-22 23:00:00+00:00,392.23,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 00:00:00+00:00,392.17,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 01:00:00+00:00,392.22,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 02:00:00+00:00,392.03,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 03:00:00+00:00,391.79,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 04:00:00+00:00,391.81,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 05:00:00+00:00,391.82,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 06:00:00+00:00,391.48,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 07:00:00+00:00,0.76,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 08:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 09:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 10:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 11:00:00+00:00,0.9,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 12:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 13:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 14:00:00+00:00,0.87,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 15:00:00+00:00,0.87,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 16:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 17:00:00+00:00,0.89,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 18:00:00+00:00,0.94,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 19:00:00+00:00,392.36,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 20:00:00+00:00,392.48,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 21:00:00+00:00,392.28,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 22:00:00+00:00,392.45,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-23 23:00:00+00:00,392.43,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 00:00:00+00:00,392.18,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 01:00:00+00:00,392.16,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 02:00:00+00:00,392.19,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 03:00:00+00:00,392.09,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 04:00:00+00:00,391.75,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 05:00:00+00:00,391.36,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 06:00:00+00:00,391.26,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 07:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 08:00:00+00:00,0.95,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 09:00:00+00:00,0.99,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 10:00:00+00:00,0.86,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 11:00:00+00:00,0.9,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 12:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 13:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 14:00:00+00:00,0.93,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 15:00:00+00:00,1.01,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 16:00:00+00:00,0.91,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 17:00:00+00:00,0.92,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 18:00:00+00:00,0.94,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 19:00:00+00:00,392.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 20:00:00+00:00,392.32,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 21:00:00+00:00,392.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-24 23:00:00+00:00,392.14,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 00:00:00+00:00,392.15,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 01:00:00+00:00,392.08,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 02:00:00+00:00,392.08,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 03:00:00+00:00,391.81,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 04:00:00+00:00,391.81,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 05:00:00+00:00,391.3,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
2023-06-25 06:00:00+00:00,391.2,value,Rack_1_Light,bf0f226c1b67ca0956izof,Rack 1 Light,cur_power,W
